model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
kreg	300	0.800000	0.850000	1272	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.850000	0.900000	1313	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.900000	0.950000	1304	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	300	0.950000	1.000000	1869	1500.000000	313.768000	0.00000	0.029620	9.37028e-14	0.085867	30000	0
kreg	1000	0.000000	0.050000	5316	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.050000	0.100000	5409	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.100000	0.150000	5295	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.150000	0.200000	5346	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.200000	0.250000	5275	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.250000	0.300000	5144	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.300000	0.350000	5228	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.350000	0.400000	5134	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.400000	0.450000	5178	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.450000	0.500000	5073	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.500000	0.550000	5035	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.550000	0.600000	4859	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.600000	0.650000	4999	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.650000	0.700000	4717	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.700000	0.750000	4605	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.750000	0.800000	4754	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.800000	0.850000	4576	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.850000	0.900000	4512	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.900000	0.950000	4389	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	1000	0.950000	1.000000	5156	5000.000000	362.101200	0.00000	0.025000	6.12843e-13	0.051780	100000	0
kreg	3000	0.000000	0.050000	15661	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.050000	0.100000	15711	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.100000	0.150000	15483	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.150000	0.200000	15630	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.200000	0.250000	15701	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.250000	0.300000	15453	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.300000	0.350000	15427	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.350000	0.400000	15224	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.400000	0.450000	15224	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.450000	0.500000	15182	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.500000	0.550000	15108	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.550000	0.600000	15133	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.600000	0.650000	14993	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.650000	0.700000	14660	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.700000	0.750000	14623	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.750000	0.800000	14412	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.800000	0.850000	14335	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.850000	0.900000	14248	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.900000	0.950000	13613	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
kreg	3000	0.950000	1.000000	14179	15000.000000	454.897333	0.00000	0.017180	1.88793e-12	0.032913	300000	0
